-1.1546135679280973 - 1.047296048016388im	-1.1546135679280674 + 1.047296048016382im	-1.0785634234183652 - 1.2200747051941934im	-1.078563423418371 + 1.2200747051941865im	-0.25302405574388565 - 0.9025817568935751im	-0.25302405574388465 + 0.902581756893569im	0.5368149318179685 + 0.31691830783015357im	0.5368149318179677 - 0.3169183078301555im	-1.232785615938403 + 0.7925519925154487im	-1.232785615938386 - 0.792551992515428im	-0.5506138847276215 - 0.3889682548509931im	0.465571231876768 - 5.2482247970189443e-17im	-0.5506138847276213 + 0.38896825485099323im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
2.69389720230326 - 0.418796525397634im	2.4142135623959238 - 1.324724810707669e-11im	2.52908551361775 + 0.25706586411073257im	2.693897202309822 + 0.41879652539740514im	0.47091448636425487 - 0.7429341358782983im	-0.4142135623730895 + 4.449754790039825e-16im	2.5290855136340236 - 0.25706586409728105im	0.47091448636425437 + 0.7429341358783225im	0.3061027976919009 - 0.41879652539044077im	0.306102797691901 + 0.41879652539044077im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
2.7906044056552712 + 0.3506101991979122im	2.7208298286219295 + 0.3189119424810615im	2.744440688304059 + 2.2764752166768525e-8im	2.7208298326889384 - 0.31891192911853455im	2.7906043944899492 - 0.3506102035750376im	0.594485915929919 + 0.7017576286962633im	-0.3838360746785141 + 0.037014247670288054im	2.865524143989714 + 0.11811649897426707im	2.8655241292205043 - 0.11811653072450391im	0.5944859159298972 - 0.7017576286961931im	0.48620138253851664 + 0.6553084605095784im	-0.3838360746785139 - 0.03701424767028258im	0.48620138253854345 - 0.6553084605095855im	0.8427127880027778 + 0.2825781981923283im	0.8427127880026698 - 0.2825781981923155im	0.5327307485361217 + 1.528607219353175e-15im	-0.055108097545889426 - 0.134665185709948im	-0.05510809754588943 + 0.134665185709948im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
1.662358978622373 + 0.5622795120623012im	1.6623589786223727 - 0.5622795120623012im	-0.324717957244746 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
1.5298303058008063 + 1.0937402430534902im	1.4585051333570425 - 1.1011843643959955im	-0.7996690350252758 - 0.060357035292096704im	1.4585051332993229 + 1.1011843644400496im	1.3774388331172673 - 1.087316828160817im	-0.7996690350254039 + 0.06035703529240797im	1.7487733906687901 + 7.333288450796167e-12im	1.5298303057500604 - 1.0937402430610117im	1.6623589785802793 + 0.5622795122456357im	-0.808434002511453 - 3.2173283543755465e-13im	1.4185974685994025 - 0.5097746101811957im	1.4185974685950693 + 0.5097746101769149im	1.6623589785770747 - 0.5622795122586682im	1.3774388331238705 + 1.0873168281339944im	1.3330840966241304 + 3.349027082007776e-13im	-0.29603630172347295 + 0.23508715634749855im	1.0000000000003169 - 5.465439380975601e-14im	-0.29603630172347345 - 0.23508715634749847im	0.34924370716039554 + 0.0im	-0.324717957244746 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
2.7947699791388803 + 0.1145375152085329im	2.7947699791384717 - 0.11453751520860102im	2.7527579236034674 + 0.3586915445513413im	2.7527579236035904 - 0.3586915445512743im	0.5334374570306619 + 0.7094709677406934im	0.6714834701271782 - 0.25578122172785256im	0.671483470127173 + 0.2557812217278543im	0.5334374570306589 - 0.7094709677406941im	-0.40397489625885163 + 0.0im	-0.10092276354123103 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
-1.9999999999999756 + 2.5424107263916085e-14im	-1.7606898534023183 - 0.8578736265951202im	-1.7606898534022764 + 0.8578736265951264im	0.5290855136357457 + 0.25706586412167726im	-1.5290855136357828 + 0.7429341358783732im	-1.5290855136357533 - 0.742934135878405im	0.5290855136357461 - 0.2570658641216773im	-1.0000046977165276 - 8.137548644932039e-6im	-1.0000046977165196 + 8.137548644931868e-6im	0.5213797068045679 + 0.0im	-0.9999906045669067 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
-2.22416541962471 + 0.7204329539470627im	-1.8917523850491818 - 0.18153410865906972im	-2.224166327985561 - 0.7204327982336336im	-2.208703829016423 - 0.740754309774032im	-1.891752322050465 + 0.1815340487296848im	0.2483763442290512 - 0.7031114204097608im	-2.2087045508836307 + 0.7407539457257152im	0.22070677368059832 + 0.7140469251234906im	-2.0860621804602464 - 0.517643212926375im	-2.0860620378620847 + 0.5176439292064506im	-1.5634723215058066 - 9.803619799125416e-9im	-2.0224436958424663 - 0.6097260496799297im	-2.0224439707588933 + 0.609725650835196im	-1.7514594534520957 - 0.3944429508105018im	0.22070677368037805 - 0.7140469251224968im	-1.7514594664921859 + 0.3944429114429725im	0.07492450356044703 + 0.4783878372667126im	0.2126382799434672 - 0.45628296667748813im	0.24096229660107527 + 0.14055329922720186im	0.24096229660107388 - 0.140553299227204im	0.2126382799434706 + 0.4562829666774869im	0.24837634422899105 + 0.7031114204088477im	0.07492450356044902 - 0.4783878372667097im	-0.06256843504524814 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
3.9498558234710317 - 0.0im	3.8019377377104013 + 0.0im	3.5636629637356023 + 0.0im	3.2469796035098932 + 0.0im	2.867767478987752 + 0.0im	2.445041867411409 + 0.0im	2.0000000001755565 + 0.0im	1.5549581320514951 + 0.0im	1.1322325217691396 + 0.0im	0.7530203962822523 + 0.0im	0.436337035063952 + 0.0im	0.19806226419516168 + 0.0im	0.050144175636352775 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
-3.9189859472380992 + 0.0im	-3.6825070656414165 - 0.0im	-3.3097214679092386 + 0.0im	-2.8308300259946475 + 0.0im	-2.284629676549421 + 0.0im	-1.7153703234527773 + 0.0im	-1.169169973996335 + 0.0im	-0.6902785321094221 + 0.0im	-0.3174929343376377 + 0.0im	-0.08101405277100522 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im	0.0 + 0.0im
